PartNumber,Manufacturer,ProductStatus,Switch Circuit,Multiplexer/Demultiplexer Circuit,On-State Resistance (Max),Package,AdditionalKeyinformation_Interface,Quantity,DatasheetUrl,PhotoUrl,Description
DG442DY,Analog Devices Inc.,Obsolete,SPST - NO,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG441-DG442.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NOX4 85OHM 16SOIC
DG444CJ,Analog Devices Inc.,Obsolete,SPST - NC,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NCX4 85OHM 16DIP
DG444CY,Analog Devices Inc.,Obsolete,SPST - NC,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NCX4 85OHM 16SOIC
DG444DJ,Analog Devices Inc.,Obsolete,SPST - NC,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NCX4 85OHM 16DIP
DG444DY,Analog Devices Inc.,Obsolete,SPST - NC,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NCX4 85OHM 16SOIC
DG445CJ,Analog Devices Inc.,Obsolete,SPST - NO,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NOX4 85OHM 16DIP
DG445CY,Analog Devices Inc.,Obsolete,SPST - NO,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NOX4 85OHM 16SOIC
DG445DJ,Analog Devices Inc.,Obsolete,SPST - NO,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPST-NOX4 85OHM 16DIP
DG445DY,Analog Devices Inc.,Obsolete,SPST - NO,1:1,85Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG444-DG445.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SPST-NOX4 85OHM 16SOIC
DG509ADY,Analog Devices Inc.,Obsolete,SP4T,4:1,450Ohm,Tube,,0,https://www.analog.com/media/en/technical-documentation/data-sheets/DG508A-DG509A.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/175_16%20SOIC.jpg,IC SWITCH SP4T X 2 450OHM 16SOIC
IH5042CPE,Analog Devices Inc.,Obsolete,SPDT,2:1,80Ohm,Tube,,0,https://datasheets.maximintegrated.com/en/ds/IH5040-IH5047.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/175_16-DIP.jpg,IC SWITCH SPDT X 1 80OHM 16DIP
IH5042CWE,Analog Devices Inc.,Obsolete,SPDT,2:1,80Ohm,Tube,,0,https://pdfserv.maximintegrated.com/en/ds/IH5040-IH5047.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2294/175%3B21-0042%3BWE%3B16.jpg,IC SWITCH SPDT X 1 80OHM 16SOIC
